一 ○ 五 年 度 公 路 平 均 每 日 交 通 量 調 查 資 料 表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填報單位：交通部公路總局第二區養護工程處,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    調查週期：定期按年辦理
縣,調      查      站,,,,路,起 迄 地 名,起 迄 樁 號,"地

形","里


程","路
面
寬
度","方


向",車道佈設,,,總        計,,各  車  種  車  輛  數  (輛/日),,,,,,,尖峰小時,,方,自行車,,備
市,編,地,樁,座,線,,,,,,,"快車道
寛    度",機慢車道寛度,"路肩
寛度",流,車,合,小,大,大,"全
聯
結
車","半
聯
結
車",機,,,向,,,
, ,,,,編,,,,,,,,,,量,公,,型,客,貨,,,,交通量,時段,係,平  日,假  日,
別,號,點,號,標,號,,,,(公里),(公尺),(往),(公尺),(公尺),(公尺),(PCU),里,計,車,車,車,,,車,(PCU),,數,交通量,交通量,註
苗栗縣,Ⅱ-01,頂大埔,89K+600,"E120'55'10.5""",台1線,竹苗縣界~頭份,89K+547~92K+000,平原區,2.5,23.4,北,"3.6,3.8",2.0,1.1,"9,858 ","25,560 ","10,224 ","7,209 ",140 ,194 ,0 ,118 ,"2,563 ","1,014 ",17-18,0.51,,,
,,,,"N24'42'57.8""",,,,,,,南,"3.6,3.8",2.0,1.1,"10,133 ","26,290 ","10,516 ","7,512 ",117 ,228 ,2 ,103 ,"2,554 ","1,482 ",08-09,,,,
苗栗縣,Ⅱ-02,頭份,93K+400,"E120'54'43.6""",台1線,頭份~尖山,92K+000~96K+139,平原區,4.1,22.8,北,"3.7,4.3",0,2.8,"13,009 ","55,416 ","13,516 ","10,519 ",192 ,293 ,3 ,103 ,"2,406 ","1,082 ",15-16,0.51,,,
,,,,"N24'41'24.0""",,,,,,,南,"3.7,4.3",0,1.7,"13,340 ","58,167 ","14,187 ","10,346 ",92 ,281 ,2 ,145 ,"3,321 ","1,035 ",17-18,,,,
苗栗縣,Ⅱ-03,尖山大橋,98K+000,"E120'52'58.1""",台1線,尖山~談文,96K+139~99K+000,平原區,2.9,25,北,"3.8,3.7",2.0 ,1.8 ,"14,845 ","48,053 ","16,570 ","9,640 ",43 ,238 ,3 ,53 ,"6,593 ","1,921 ",07-08,0.74,,,
,,,,"N24'39'59.1""",,,,,,,南,"3.8,3.8",2.0 ,2.0 ,"5,862 ","17,272 ","5,956 ","4,783 ",42 ,174 ,2 ,35 ,920 ,652 ,07-08,,,,
苗栗縣,Ⅱ-04,公館仔橋,99K+200,"E120'52'31.1""",台1線,談文~造橋,99K+000~102K+029,平原區,3,24.6,北,"3.5,3.7",2.0,1.8,"6,339 ","19,761 ","6,587 ","4,045 ",99 ,222 ,3 ,109 ,"2,109 ",737 ,07-08,0.51,,,
,,,,"N24'39'37.2""",,,,,,,南,"3.5,3.7",2.0,1.5,"6,499 ","20,178 ","6,726 ","4,329 ",105 ,215 ,2 ,100 ,"1,975 ",689 ,07-08,,,,
苗栗縣,Ⅱ-05,龍昇陸橋,105K+300,"E120'49'46.3""",台1線,造橋~後龍,102K+029~107K+581,丘陵區,5.6,23.4,北,"3.7,3.7",2.0,1.1,"4,151 ","21,437 ","3,828 ","2,508 ",54 ,142 ,3 ,105 ,"1,016 ",564 ,07-08,0.50,,,
,,,,"N24'38'36.5""",,,,,,,南,"3.7,3.7",2.0,1.1,"4,014 ","21,185 ","3,783 ","2,508 ",43 ,138 ,1 ,87 ,"1,006 ",386 ,17-18,,,,
苗栗縣,Ⅱ-06,大庄橋,110K+200,"E120'47'51.0""",台1線,後龍~十班坑,107K+581~111K+500,平原區,3.9,24.8,北,"3.7,3.7",2.0,1.8,"4,002 ","16,774 ","4,301 ","2,713 ",26 ,78 ,1 ,40 ,"1,443 ",511 ,07-08,0.50,,,
,,,,"N24'37'6.7""",,,,,,,南,"3.7,3.7",2.0,1.8 ,"4,032 ","16,899 ","4,333 ","2,712 ",40 ,85 ,2 ,35 ,"1,459 ",452 ,17-18,,,,
苗栗縣,Ⅱ-07,後龍溪橋,112K+300,"E120'47'0.5""",台1線,十班坑~西湖,111K+500~118K+335,平原區,6.8,29,北,"3.5,3.5,3.5",0,2.4,"7,738 ","53,672 ","7,893 ","5,599 ",125 ,180 ,1 ,202 ,"1,786 ",671 ,14-15,0.50,,,
,,,,"N24'36'24.2""",,,,,,,南,"3.5,3.5,3.5",0,2.4,"7,569 ","53,054 ","7,802 ","5,552 ",127 ,157 ,2 ,169 ,"1,795 ",755 ,07-08,,,,
苗栗縣,Ⅱ-08,西湖橋,118K+500,"E120'45'6.8""",台1線,西湖~南勢,118K+335~124K+129,平原區,5.8,25.8,北,"3.7,3.7",2.1,2.8,"2,343 ","13,357 ","2,303 ","1,418 ",32 ,80 ,0 ,94 ,679 ,258 ,11-12,0.52,,,
,,,,"N24'33'47.4""",,,,,,,南,"3.7,3.7",2.1,2.8,"2,581 ","14,645 ","2,525 ","1,471 ",72 ,94 ,0 ,104 ,784 ,318 ,10-11,,,,
苗栗縣,Ⅱ-09,新埔橋,127K+600,"E120'41'48.4""",台1線,南勢~通霄,124K+129~132K+131,平原區,8,30.8,北,"3.5,3.5,3.5",2.0,1.4,"6,632 ","49,384 ","6,173 ","4,344 ",74 ,194 ,4 ,341 ,"1,216 ",852 ,17-18,0.52,,,
,,,,"N24'32'32.9""",,,,,,,南,"3.5,3.5,3.5",2.0,1.4,"5,920 ","44,784 ","5,598 ","3,983 ",56 ,162 ,4 ,271 ,"1,122 ",911 ,14-15,,,,
苗栗縣,Ⅱ-10,番社橋,132K+700,"E120'41'33.0""",台1線,通霄~田心仔,132K+131~134K+975,平原區,2.8,35.4,北,"3.7,3.5,3.5",2.1 ,3.7 ,"4,292 ","10,814 ","3,862 ","2,663 ",42 ,252 ,4 ,237 ,664 ,513 ,16-17,0.50,,,
,,,,"N24'29'52.8""",,,,,,,南,"3.6,3.5,3.6",2.1 ,3.2 ,"4,683 ","10,662 ","3,808 ","2,597 ",49 ,270 ,4 ,423 ,465 ,630 ,16-17,,,,
苗栗縣,Ⅱ-11,苑裡橋,139K+100,"E120'39'33.2""",台1線,田心仔~山柑尾,134K+975~140K+000,平原區,5,25.6,北,"3.7,3.7",2.0,1.8,"7,978 ","41,590 ","8,318 ","5,645 ",96 ,154 ,1 ,113 ,"2,309 ",853 ,17-18,0.52,34 ,147 ,自行車車輛數(輛/日)：91
,,,,"N24'27'16.6""",,,,,,,南,"3.7,3.7",2.0,1.8,"8,483 ","44,900 ","8,980 ","5,975 ",81 ,153 ,0 ,94 ,"2,677 ","1,232 ",07-08,,57 ,297 ,"自行車車輛數(輛/日)：177
"
苗栗縣,Ⅱ-12,福特汽車,142K+500,"E120'38'40.9""",台1線,山柑尾~苗中縣界,140K+000~143K+382,平原區,3.4,26.8,北,"3.5,3.5",2.0 ,3.2 ,"10,330 ","36,635 ","10,775 ","7,471 ",158 ,200 ,1 ,112 ,"2,833 ","1,240 ",17-18,0.52,,,
,,,,"N24'25'47.5""",,,,,,,南,"3.8,3.8",2.0 ,2.3 ,"11,101 ","39,933 ","11,745 ","7,789 ",114 ,266 ,0 ,104 ,"3,472 ","1,784 ",07-08,,,,
台中市,Ⅱ-13,大安溪橋,150K+150,E120'38'33.6'',台1線,苗中縣界~大甲,143K+382~153K+559,平原區,10.2,35.2,北,"3.5,3.5,3.5",2.0,3.5,"17,045 ","188,098 ","18,441 ","11,958 ",150 ,260 ,0 ,96 ,"5,977 ","2,837 ",07-08,0.51,,,
,,,,N24'22'3.5'',,,,,,,南,"3.5,3.5,3.5",2.0,3.5,"16,283 ","177,878 ","17,439 ","11,656 ",166 ,249 ,3 ,104 ,"5,261 ","2,024 ",17-18,,,,
台中市,Ⅱ-14,大甲溪橋,156K+300,E120'36'35.6'',台1線,大甲~清水,153K+559~162K+989,平原區,9.4,24.2,北,"3.5,3.8",1.8,1.8,"12,786 ","126,562 ","13,464 ","9,145 ",220 ,308 ,0 ,85 ,"3,706 ","1,320 ",17-18,0.51,34 ,141 ,"（平日）自行車車輛數(輛/日)：34
（假日）自行車車輛數(輛/日)：141"
,,,,N24'19'43.0'',,,,,,,南,"3.5,3.8",1.8,1.8,"13,294 ","130,087 ","13,839 ","9,687 ",234 ,333 ,3 ,104 ,"3,478 ","1,615 ",07-08,,58 ,224 ,"（平日）自行車車輛數(輛/日)：58
（假日）自行車車輛數(輛/日)：224"
台中市,Ⅱ-15,美田橋,163K+100,E120'34'29.5'',台1線,清水~沙鹿,162K+989~164K+041,平原區,1.1,40.2,北,"3.5,3.5,3.5",2.5,6.0,"8,058 ","9,379 ","8,526 ","6,186 ",27 ,169 ,6 ,27 ,"2,111 ","1,113 ",07-08,0.58,,,
,,,,N24'16'40.9'',,,,,,,南,"3.5,3.5,3.5",2.5,5.5,"10,836 ","12,698 ","11,544 ","8,223 ",43 ,208 ,3 ,35 ,"3,032 ","1,266 ",17-18,,,,
台中市,Ⅱ-16,梧棲,169K+500,E120'32'44.3'',台1線,沙鹿~龍井,164K+041~175K+804,平原區,11.8,38.2,北,"3.6,3.5,3.5",2.0,5.1,"9,264 ","112,820 ","9,561 ","7,121 ",21 ,232 ,6 ,95 ,"2,086 ","1,173 ",17-18,0.51,,,
,,,,N24'13'44.3'',,,,,,,南,"3.6,3.5,3.5",2.0,5.1,"9,606 ","117,516 ","9,959 ","7,490 ",50 ,207 ,3 ,76 ,"2,133 ","1,247 ",07-08,,,,
台中市,Ⅱ-17,山陽橋,176K+550,E120'32'32.6'',台1線,龍井~大肚,175K+804~178K+205,平原區,2.4,39.8,北,"3.5,3.5,4.1",0,7.8,"10,684 ","26,249 ","10,937 ","6,849 ",195 ,386 ,5 ,353 ,"3,149 ","1,367 ",07-08,0.51,,,
,,,,N24'10'13.7'',,,,,,,南,"3.5,3.5",2.0,9.5,"10,817 ","25,690 ","10,704 ","7,045 ",218 ,303 ,6 ,339 ,"2,793 ","1,329 ",07-08,,,,
台中市,Ⅱ-18,大肚,180K+600,E120'33'4.2'',台1線,大肚~王田交流道,178K+205~183K+967,平原區,5.8,23.8,北,"3.5,3.5",2.1,2.0,"16,567 ","98,623 ","17,004 ","10,865 ",121 ,498 ,5 ,390 ,"5,125 ","1,746 ",07-08,0.50,,,
,,,,N24'08'15.8'',,,,,,,南,"3.5,3.5",2.1,2.0,"16,640 ","97,486 ","16,808 ","11,230 ",184 ,464 ,6 ,423 ,"4,501 ","2,187 ",07-08,,,,
台中市,Ⅱ-19,大度橋,185K+800,E120'34'55.8'',台1線,王田交流道~中彰縣界,183K+967~186K+280,平原區,2.3,27.5,北,"3.5,3.5",2.6,0.3,"21,487 ","53,990 ","23,474 ","13,400 ",240 ,418 ,5 ,216 ,"9,195 ","2,747 ",07-08,0.52,34 ,134 ,"快慢分隔,1車道；
（平日）自行車車輛數(輛/日)：34
（假日）自行車車輛數(輛/日)：134"
,,,,N24'06'24.6'',,,,,,,南,"3.5,3.5",2.6,0.3,"23,167 ","58,351 ","25,370 ","14,560 ",280 ,395 ,5 ,212 ,"9,918 ","2,707 ",17-18,,62 ,163 ,"快慢分隔,1車道；
（平日）自行車車輛數(輛/日)：62
（假日）自行車車輛數(輛/日)：163"
彰化縣,Ⅱ-20,中山路三段,189K+500,"E120'33'21.7""",台1線,中彰縣界~台19線交岔路口,186K+280~191K+000,平原區,4.7,18,北,"3.3,3.6",0,1.7,"25,215 ","145,996 ","31,063 ","15,287 ",334 ,155 ,0 ,9 ,"15,278 ","2,412 ",07-08,0.52,,,
,,,,"N24'05'7.3""",,,,,,,南,"3.3,3.6",0,2.0,"27,325 ","158,822 ","33,792 ","16,554 ",295 ,162 ,1 ,6 ,"16,774 ","2,376 ",17-18,,,,
彰化縣,Ⅱ-21,台19線交岔路口,191K+000,"E120'32'41.9""",台1線,台19線交岔路口~137線交岔路口,191K+000~192K+050,平原區,1.1,18.6,北,"3.5,3.5",0,1.3,"25,674 ","35,530 ","32,300 ","15,080 ",180 ,106 ,0 ,2 ,"16,932 ","2,235 ",17-18,0.53,,,
,,,,"N24'04'45.1""",,,,,,,南,"3.5,3.5",0,3.0,"28,175 ","39,817 ","36,197 ","15,641 ",84 ,133 ,0 ,2 ,"20,337 ","2,311 ",07-08,,,,
彰化縣,Ⅱ-22,蓬萊橋,196K+300,"E120'32'9.4""",台1線,137線交岔路口~花壇,192K+050~197K+000,平原區,5,25.1,北,"3.6,3.6",1.8,2.5,"20,633 ","114,140 ","22,828 ","13,922 ",158 ,294 ,10 ,40 ,"8,404 ","2,405 ",07-08,0.50,,,
,,,,"N24'02'8.2""",,,,,,,南,"3.6,3.6",2.1,2.5,"20,690 ","114,715 ","22,943 ","13,488 ",238 ,333 ,5 ,50 ,"8,829 ","1,996 ",07-08,,,,
彰化縣,Ⅱ-23,港尾橋,203K+400,"E120'34'9.7""",台1線,花壇~員林,197K+000~205K+000,平原區,8,25.1,北,"3.7,3.7",1.9,2.2,"22,984 ","198,880 ","24,860 ","15,686 ",271 ,444 ,4 ,128 ,"8,327 ","2,485 ",07-08,0.51,103 ,152 ,"（平日）自行車車輛數(輛/日)：103
（假日）自行車車輛數(輛/日)：152"
,,,,"N23'58'54.0""",,,,,,,南,"3.5,3.5",1.8,2.7,"22,018 ","189,008 ","23,626 ","15,430 ",250 ,396 ,5 ,140 ,"7,405 ","2,349 ",17-18,,86 ,162 ,"（平日）自行車車輛數(輛/日)：86
（假日）自行車車輛數(輛/日)：162"
彰化縣,Ⅱ-24,永靖,207K+950,"E120'33'45.1""",台1線,員林~永靖,205K+000~209K+000,平原區,4,28,北,"3.7,3.5,3.7",0,0.4,"26,687 ","119,780 ","29,945 ","18,734 ",190 ,695 ,13 ,166 ,"10,147 ","2,998 ",07-08,0.52,,,
,,,,"N23'56'40.8""",,,,,,,南,"3.6,3.7",2.0,4.4,"25,311 ","108,536 ","27,134 ","17,614 ",128 ,711 ,11 ,146 ,"8,524 ","2,288 ",17-18,,,,
彰化縣,Ⅱ-25,第一北勢寮橋,215K+800,"E120'31'23.1""",台1線,永靖~北斗,209K+000~216K+000,平原區,7,25.2,北,"3.5,3.5",2.0,2.5,"16,659 ","124,061 ","17,723 ","11,780 ",150 ,478 ,5 ,89 ,"5,221 ","1,588 ",17-18,0.50,,,
,,,,"N23'53'1.9""",,,,,,,南,"3.5,3.5",2.0,2.5,"16,637 ","122,668 ","17,524 ","12,200 ",115 ,461 ,8 ,100 ,"4,640 ","1,461 ",07-08,,,,
彰化縣,Ⅱ-26,第四溪州橋,219K+100,"E120'30'17.5""",台1線,北斗~溪州,216K+000~220K+000,平原區,4,25.2,北,"3.5,3.5",2.0,2.4,"9,439 ","41,220 ","10,305 ","6,447 ",62 ,195 ,0 ,37 ,"3,564 ",891 ,17-18,0.51,74 ,109 ,"（平日）自行車車輛數(輛/日)：74
（假日）自行車車輛數(輛/日)：109"
,,,,"N23'51'35.4""",,,,,,,南,"3.5,3.5",2.0,2.4,"9,316 ","39,960 ","9,990 ","6,534 ",83 ,160 ,4 ,69 ,"3,140 ",854 ,17-18,,52 ,88 ,"（平日）自行車車輛數(輛/日)：52
（假日）自行車車輛數(輛/日)：88"
彰化縣,Ⅱ-27,溪州大橋,226K+000,"E120'28'1.4""",台1線,溪州~彰雲縣界,220K+000~226K+879,平原區,6.9,24.8,北,"3.7,3.8",1.9,1.8,"5,913 ","38,716 ","5,611 ","3,997 ",81 ,392 ,15 ,162 ,964 ,581 ,07-08,0.50,5 ,21 ,"（平日）自行車車輛數(輛/日)：5
（假日）自行車車輛數(輛/日)：21"
,,,,"N23'49'23.7""",,,,,,,南,"3.7,3.8",1.9,1.8,"5,955 ","39,068 ","5,662 ","4,043 ",71 ,375 ,9 ,174 ,990 ,623 ,17-18,,8 ,27 ,"（平日）自行車車輛數(輛/日)：8
（假日）自行車車輛數(輛/日)：27"
,,,,,,合計,,,137.5 ,,,,,,"680,899","3,626,766",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台中市,Ⅱ-28,大雅,1K+100,E120'38'57.2'',台1乙線,大雅~大華國中,0K+000~1K+775,平原區,1.8,24.5,北,"3.5,3.5",1.8,2.5,"22,985 ","44,186 ","24,548 ","16,147 ",318 ,449 ,5 ,144 ,"7,485 ","2,025 ",07-08,0.57,,,
,,,,N24'12'57.8'',,,,,,,南,"3.5,3.5",1.8,2.0,"30,331 ","58,262 ","32,368 ","21,017 ",284 ,615 ,7 ,275 ,"10,170 ","2,651 ",07-08,,,,
台中市,Ⅱ-29,水湳,5K+900,E120'40'6.7'',台1乙線,大華國中~五權路口,1K+775~8K+725,平原區,7,28,北,"3.2,3.2",5.4,0.1,"37,202 ","297,157 ","42,451 ","22,211 ",771 ,199 ,0 ,20 ,"19,250 ","3,361 ",07-08,0.51,,,
,,,,N24'10'41.4'',,,,,,,南,"3.2,3.2",5.2,0.1,"39,045 ","310,562 ","44,366 ","23,238 ",921 ,283 ,0 ,23 ,"19,901 ","3,469 ",17-18,,,,
台中市,Ⅱ-30,民權路口,9K+700,E120'40'15.6'',台1乙線,五權路口~精忠橋南端,8K+725~15K+370,平原區,6.6,26.2,北,"3.5,3.5",3.8,0.8,"20,718 ","155,793 ","23,605 ","13,153 ",186 ,113 ,0 ,4 ,"10,149 ","1,816 ",17-18,0.51,,,
,,,,N24'08'43.4'',,,,,,,南,"3.5,3.5",3.8,0.8,"20,008 ","149,668 ","22,677 ","12,677 ",248 ,151 ,0 ,5 ,"9,596 ","1,733 ",17-18,,,,
台中市,Ⅱ-31,明道中學,16K+300,E120'38'9.1'',台1乙線,精忠橋南端~烏日,15K+370~17K+221,平原區,1.9,26.2,北,"3.5,3.5",2.0,2.5,"19,680 ","41,638 ","21,915 ","12,480 ",456 ,199 ,1 ,30 ,"8,749 ","1,926 ",17-18,0.50,,,
,,,,N24'06'26.0'',,,,,,,南,"3.5,3.5",2.0,2.5,"19,342 ","41,220 ","21,695 ","12,023 ",468 ,146 ,1 ,24 ,"9,033 ","1,654 ",17-18,,,,
台中市,Ⅱ-32,集泉橋,18K+500,E120'36'56.5'',台1乙線,烏日~王田,17K+221~21K+921,平原區,4.7,30.3,北,"3.3,3.4,3.4",1.5,0.5,"24,020 ","124,644 ","26,520 ","14,931 ",522 ,437 ,3 ,88 ,"10,539 ","2,492 ",17-18,0.51,,,
,,,,"N24'06'21.7""",,,,,,,南,"3.2,3.4,3.4",2.6,0.3,"24,802 ","129,635 ","27,582 ","15,405 ",495 ,348 ,2 ,84 ,"11,248 ","2,830 ",07-08,,,,
,,,,,,合計,,,22.0 ,,,,,,"258,133","1,352,765",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,Ⅱ-33,里程牌,3K+000,"E120'33'41.1""",台1丙線,大肚橋南端~139線交岔路口,0K+000~5K+536,平原區,5.5,27.2,北,"3.5,3.5",2.0,3.5,"21,977 ","129,706 ","23,583 ","16,652 ",89 ,381 ,0 ,42 ,"6,419 ","2,457 ",07-08,0.51,38 ,60 ,"（平日）自行車車輛數(輛/日)：38
（假日）自行車車輛數(輛/日)：60"
,,,,"N24'05'49.5""",,,,,,,南,"3.5,3.5",2.0,3.5,"21,145 ","125,472 ","22,813 ","15,816 ",80 ,315 ,3 ,47 ,"6,552 ","2,095 ",17-18,,34 ,102 ,"（平日）自行車車輛數(輛/日)：34
（假日）自行車車輛數(輛/日)：102"
彰化縣,Ⅱ-34,里程牌,6K+100,"E120'32'6.1""",台1丙線,139線交岔路口~莿桐,5K+536~8K+300,平原區,2.8,28.4,北,"3.5,3.7",2.1,3.9,"17,801 ","54,415 ","19,434 ","12,626 ",66 ,281 ,1 ,56 ,"6,404 ","1,690 ",17-18,0.50,,,
,,,,"N24'05'24.3""",,,,,,,南,"3.6,3.8",2.1,3.3,"17,640 ","53,875 ","19,241 ","12,610 ",59 ,340 ,2 ,28 ,"6,202 ","1,574 ",07-08,,,,
,,,,,,合計,,,8.3 ,,,,,,"78,563","363,468",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,Ⅱ-35,竹南交流道,1K+500,"E120'51'19.4""",台1己線,竹南~頭份,0K+000~4K+186,平原區,4.2,23.6,北,"3.6,3.6",2.0,0.3,"6,400 ","22,957 ","5,466 ","4,218 ",47 ,498 ,9 ,370 ,324 ,777 ,07-08,0.51,,,
,,,,"N24'40'18.4""",,,,,,,南,"3.6,3.6",2.0,0.3,"6,190 ","22,201 ","5,286 ","4,006 ",82 ,489 ,3 ,358 ,348 ,580 ,07-08,,,,
,,,,,,合計,,,4.2 ,,,,,,"12,590","45,158",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,Ⅱ-36,峨嵋橋,94K+900,"E120'57'57.5""",台3線,竹苗縣界~三灣國中,93K+000~97K+736,平原區,4.7,18.4,北,"3.5,3.5",0,1.2,"4,843 ","22,377 ","4,761 ","3,483 ",112 ,163 ,0 ,144 ,859 ,"1,040 ",15-16,0.51,,,分離2車道
,,,,"N24'40'35.5""",,,,,,,南,"3.5,3.5",0,1.2,"5,015 ","23,030 ","4,900 ","3,551 ",128 ,170 ,0 ,161 ,890 ,845 ,10-11,,,,分離2車道
苗栗縣,Ⅱ-37,中港溪橋,98K+000,"E120'57'16.0""",台3線,三灣國中~三灣,97K+736~100K+124,平原區,2.4,13.2,北,3.5,0,3.0,"6,101 ","15,245 ","6,352 ","4,669 ",72 ,123 ,0 ,119 ,"1,369 ","1,446 ",15-16,0.51,,,
,,,,"N24'38'54.4""",,,,,,,南,3.5,0,3.0,"6,288 ","15,571 ","6,488 ","4,723 ",105 ,120 ,0 ,138 ,"1,402 ",0 ,0 ,,,,
苗栗縣,Ⅱ-38,大河底一橋,102K+800,"E120'57'0.0""",台3線,三灣~三灣郵局,100K+124~107K+705,平原區,7.6,14,北,"3.4,3.3",0,0.2,"1,598 ","13,110 ","1,725 ","1,169 ",8 ,39 ,0 ,22 ,487 ,323 ,15-16,0.52,,,
,,,,"N24'36'57.9""",,,,,,,南,"3.4,3.3",0,0.2,"1,485 ","12,183 ","1,603 ","1,100 ",6 ,27 ,0 ,22 ,448 ,257 ,07-08,,,,
苗栗縣,Ⅱ-39,獅潭國中,113K+100,"E120'55'25.8""",台3線,三灣郵局~獅潭,107K+705~113K+683,平原區,6,16,北,"3.4,3.4",0,1.0 ,"1,715 ","11,664 ","1,944 ","1,300 ",7 ,13 ,0 ,4 ,620 ,444 ,14-15,0.50,,,
