一 ○ 五 年 度 公 路 平 均 每 日 交 通 量 調 查 統 計 表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填報單位：交通部公路總局第五區養護工程處,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    調查週期：定期按年辦理
縣,調      查      站,,,,路,起 迄 地 名,起 迄 樁 號,"地

形","里


程","路
面
寬
度","方


向",車道佈設,,,總        計,,各  車  種  車  輛  數  (輛/日),,,,,,,尖峰小時,,方,自行車,,備
市,編,地,樁,座,線,,,,,,,"快車道
寛    度",機慢車道寛度,"路肩
寛度",流,車,合,小,大,大,"全
聯
結
車","半
聯
結
車",機,,,向,,,
, ,,,,編,,,,,,,,,,量,公,,型,客,貨,,,,交通量,時段,係,平  日,假  日,
別,號,點,號,標,號,,,,(公里),(公尺),(往),(公尺),(公尺),(公尺),(PCU),里,計,車,車,車,,,車,(PCU),,數,交通量,交通量,註
雲林縣,V-01,西螺,228K+350,196184.748,台1線,西螺~莿桐,226K+879~232K+432,平原區,5.55,21.6,北,"3.6,3.6",2.6,1,"3,959","21,352","3,847","2,869",22,235,18,69,635,351,17～18,0.52 ,,,
,,,,2632496.414,,,,,,,南,"3.6,3.6",2.6,1,"4,431","23,652","4,262","3,200",40,264,13,94,651,377,17～18,,,,
雲林縣,V-02,新虎尾溪橋,234K+100,198712.412,台1線,莿桐~惠來厝,232K+432~235K+882,平原區,3.45,23.4,北,"3.8,4.2",2.8,1,"5,796","20,082","5,821","3,324",31,498,9,122,"1,838",622,17～18,0.50 ,,,
,,,,2627572.562,,,,,,,南,"3.7,4",3.1,0.8,"5,603","19,603","5,682","3,171",21,480,6,113,"1,891",610,7～8,,,,
雲林縣,V-03,虎尾溪橋,239K+150,197376.576,台1線,惠來厝~北勢子,235K+882~239K+985,平原區,4.1,22.2,北,"3.8,3.8",2.3,1.1,"5,594","22,525","5,494","3,401",27,569,5,105,"1,388",565,17～18,0.51 ,6 ,9 ,
,,,,2622675.652,,,,,,,南,"3.8,3.8",2.8,0.8,"5,380","21,596","5,267","3,170",23,593,2,106,"1,373",595,7～8,,365 ,89 ,
雲林縣,V-04,石牛溪橋,242K+000,197063.570,台1線,北勢子~斗南,239K+985~242K+229,平原區,2.23,27.3,北,"3.6,3.6,3.6",2.2,0.9,"23,490","56,084","25,150","16,191",141,486,33,196,"8,103","1,661",15～16,0.57 ,,,
,,,,2620170.577,,,,,,,南,"3.5,3.6,3.5",2.1,0.7,"19,513","47,048","21,098","12,328",140,499,32,201,"7,899","1,237",10～11,,,,
雲林縣,V-05,豐田工業區,247K+200,195899.148,台1線,斗南~嘉義縣界,242K+229~247K+477,平原區,5.25,22.6,北,"3.8,3.8",2.4,1,"9,167","47,367","9,022","6,180",54,826,11,116,"1,835",784,17～18,0.51 ,,,
,,,,2615317.495,,,,,,,南,"3.7,3.8",2.1,2,"8,734","45,892","8,741","6,103",50,723,6,66,"1,793",810,17～18,,,,
嘉義縣,V-06,三疊溪橋,253K+100,193400.749,台1線,雲林縣界~民雄,247K+477~257K+386,平原區,9.91,21,北,"3.7,3.8",2.2,0.5,"4,769","49,380","4,983","3,507",11,191,3,26,"1,244",411,17～18,0.54 ,0 ,0 ,
,,,,2610643.495,,,,,,,南,"3.6,3.6",2.1,1.5,"5,089","53,188","5,367","3,673",13,205,3,21,"1,452",487,17～18,,46 ,65 ,
嘉義縣,V-07,吳鳳工專,259K+950,192372.268,台1線,民雄~嘉義市界,257K+386~261K+632,平原區,4.25,30.5,北,"3.7,3.9,3.8",2,1.7,"18,195","81,771","19,240","12,125",177,650,23,163,"6,103","1,626",17～18,0.51 ,,,
,,,,2603978.372,,,,,,,南,"3.6,3.9,4.2",2.1,1.6,"19,093","86,012","20,238","12,905",179,605,24,162,"6,363","1,555",17～18,,,,
嘉義市,V-08,後湖,264K+250,193858.435,台1線,嘉義縣界~博東路,261K+632~265K+238,平原區,3.61,21.8,北,"3.2,3.2,4.2",-,0.4,"17,754","62,116","17,207","16,191",239,701,6,39,32,"1,488",7～8,0.53 ,,,
,,,,2599847.335,,,,,,,南,"3.2,3.3,4.1",-,0.2,"19,500","68,364","18,937","17,913",261,684,4,46,28,"1,659",17～18,,,,
嘉義市,V-09,博愛路,267K+400,192868.990,台1線,博東路~北港路,265K+238~267K+864,平原區,2.63,21.1,北,"3.5,3.5",2.1,1.4,"16,221","48,752","18,537","9,525",97,348,3,10,"8,553","1,156",11～12,0.51 ,,,
,,,,2597810.120,,,,,,,南,"3.5,3.5",2.1,1.5,"13,644","40,769","15,501","8,248",87,294,2,4,"6,867","1,129",18～19,,,,
嘉義市,V-10,港子坪,269K+300,191567.471,台1線,北港路~嘉義縣界,267K+864~269K+847,平原區,1.98,21.3,北,"3.5,3.5",2,1.8,"15,213","33,832","17,087","10,146",95,86,6,22,"6,733","1,232",17～18,0.57 ,15 ,12 ,
,,,,2596234.907,,,,,,,南,"3.4,3.5",2.1,1.5,"12,075","26,764","13,517","8,152",97,72,4,10,"5,182",923,21～22,,42 ,89 ,
嘉義縣,V-11,水上,271K+950,189942.306,台1線,嘉義市界~水上,269K+847~273K+895,平原區,4.05,31.2,北,"3.6,3.5,3.6",2.8,0.7,"16,947","72,956","18,014","12,069",118,612,6,52,"5,157","1,511",17～18,0.51 ,,,
,,,,2594285.697,,,,,,,南,"3.6,3.5,3.5",2.5,3.9,"16,589","71,401","17,630","11,770",122,633,6,44,"5,056","1,463",17～18,,,,
嘉義縣,V-12,八掌溪橋,277K+650,186895.634,台1線,水上~台南市界,273K+895~277K+650,平原區,3.76,22.9,北,"3.8,3.8",2.1,1.7,"8,830","33,054","8,791","6,300",55,613,25,84,"1,714",752,7～8,0.53 ,,,
,,,,2589319.338,,,,,,,南,"3.8,3.8",2.1,1.8,"8,794","32,985","8,773","6,383",49,553,13,99,"1,676",836,17～18,,,,
臺南市,V-13,卯舍橋,287K+600,182935.527,台1線,嘉義縣界~新營,277K+650~289K+759,平原區,12.1,22.2,北,"3.7,3.7",2.5,1.1,"11,358","144,256","11,922","8,970",75,227,1,34,"2,615",986,17～18,0.52 ,,,
,,,,2580880.304,,,,,,,南,"3.6,3.6",2.5,1.5,"11,773","150,197","12,413","9,233",82,217,2,30,"2,849","1,057",16～17,,,,
臺南市,V-14,新文橋,296K+653,179673.802,台1線,新營~龜子港,289K+759~296K+725,平原區,7,24,北,"3.5,3.5",2.1,2.6,"12,336","90,862","12,980","8,312",79,596,23,71,"3,899","1,189",7～8,0.50 ,,,
,,,,2573259.575,,,,,,,南,"3.5,3.5",2.4,2.9,"12,616","92,950","13,279","8,527",104,596,22,66,"3,963","1,188",17～18,,,,
臺南市,V-15,隆田橋,303K+280,179681.540,台1線,龜子港~隆田,296K+725~303K+793,平原區,7.1,25,北,"3.6,3.9",2.5,3.9,"6,069","45,503","6,409","4,427",36,159,7,36,"1,744",603,17～18,0.53 ,,,
,,,,2567107.698,,,,,,,南,"3.5,3.5",2.5,1.6,"6,190","46,199","6,507","4,593",39,168,5,35,"1,666",673,7～8,,,,
臺南市,V-16,曾文溪橋,309K+750,182340.875,台1線,隆田~曾文溪橋南端,303K+793~310K+020,平原區,6.2,26.6,北,"3.6,3.6",2.5,3.4,"9,541","61,027","9,843","6,543",44,299,25,155,"2,777","1,180",7～8,0.53 ,,,
,,,,2561902.639,,,,,,,南,"3.6,3.6",2.5,3.8,"9,443","61,095","9,854","6,662",34,269,24,108,"2,757","1,304",7～8,,,,
臺南市,V-17,大營橋,315K+000,180165.352,台1線,曾文溪橋南端~新市,310K+020~318K+000,平原區,8,25.9,北,"3.6,3.6",2.6,3.5,"10,419","87,305","10,913","6,249",85,335,33,214,"3,997",978,17～18,0.51 ,15 ,30 ,
,,,,2556528.355,,,,,,,南,"3.6,3.6",2.6,2.8,"10,046","84,715","10,589","6,191",96,345,24,160,"3,774","1,028",7～8,,31 ,42 ,
臺南市,V-18,高鐵橋下,318K+000,160731.479,台1線,新市~高鐵橋下,318K+000~321K+600,平原區,3.6,23.6,北,"3.6,3.6",2.5,2.2,"16,483","61,360","17,045","10,976",83,674,38,246,"5,027","1,593",7～8,0.53 ,,,
,,,,2551809.824,,,,,,,南,"3.6,3.6",2.5,2,"17,503","65,886","18,302","11,677",101,661,30,222,"5,610","1,831",7～8,,,,
臺南市,V-19,豐化橋,323K+100,175741.180,台1線,高鐵橋下~豐化橋,321K+600~323K+100,平原區,1.5,20.2,北,"3.6,3.6",2.5,0.6,"20,780","34,232","22,821","12,072",153,779,32,158,"9,627","2,662",7～8,0.55 ,,,
,,,,2550765.566,,,,,,,南,"3.6,3.6",2,0.7,"26,293","43,868","29,245","14,485",165,991,41,198,"13,364","3,230",7～8,,,,
臺南市,V-20,蔦松橋,325K+250,173511.119,台1線,豐化橋~永康交流道,323K+100~326K+700,平原區,3.6,22.5,北,"3.5,3.5,3.5",2,0.8,"28,540","102,255","28,404","19,640",157,"1,000",72,728,"6,808","2,501",7～8,0.52 ,,,
,,,,2549130.029,,,,,,,南,"3.5,3.5",2.5,3.2,"29,387","106,049","29,458","19,999",160,972,84,725,"7,517","2,675",17～18,,,,
臺南市,V-21,鹽行派出所,327K+650,172137.510,台1線,永康交流道~南新路口,326K+700~328K+400,平原區,1.7,20.8,東,"3.5,3.5",2,1.5,"24,578","43,520","25,600","15,677",648,824,21,317,"8,112","1,625",17～18,0.52 ,,,
,,,,2549081.725,,,,,,,西,"3.5,3.5",2,1.3,"24,728","43,847","25,792","15,747",628,832,16,324,"8,245","1,767",17～18,,,,
臺南市,V-22,鐵路路橋,331K+070,170298.943,台1線,南新路口~鐵路路橋,328K+400~331K+070,平原區,2.7,19,東,"3.5,3.5",2,0.5,"42,730","142,033","52,605","18,127",199,357,0,10,"33,911","4,987",7～8,0.54 ,,,
,,,,2546785.698,,,,,,,西,"3.5,3.5",2,0.5,"42,546","141,217","52,303","18,116",227,359,1,12,"33,587","4,181",17～18,,,,
臺南市,V-23,五王廟前,332K+800,171485.944,台1線,鐵路路橋~東門路,331K+070~332K+800,平原區,1.7,22.1,北,"3.5,3.5",2,1.5,"33,483","69,953","41,149","14,468",153,230,0,14,"26,284","2,488",18～19,0.52 ,,,
,,,,2545409.553,,,,,,,南,"4,3.2",2,2.4,"34,116","71,490","42,053","14,767",154,135,1,7,"26,989","2,731",18～19,,,,
臺南市,V-24,關帝廟前,335K+300,171349.531,台1線,東門路~關帝廟前,332K+800~335K+300,平原區,2.5,21.6,北,"3.2,3.2",3,1,"27,812","82,874","33,150","13,770",134,431,2,8,"18,804","2,216",18～19,0.51 ,,,
,,,,2542848.784,,,,,,,南,"3.2,3.2",3,1.8,"27,273","81,056","32,422","13,421",145,535,0,3,"18,318","2,155",18～19,,,,
臺南市,V-25,文化中心,337K+450,170154.368,台1線,關帝廟前~大同路,335K+300~338K+600,平原區,3.3,22.5,東,"3.2,3.2",3,2,"24,361","94,861","28,746","13,126",95,246,1,12,"15,267","2,002",18～19,0.52 ,,,
,,,,2541566.033,,,,,,,西,"3.2,3.2",3,1.7,"26,444","103,096","31,241","14,243",98,248,0,11,"16,641","2,165",17～18,,,,
臺南市,V-26,牛稠仔,340K+200,169794.317,台1線,大同路~牛稠子,338K+600~340K+700,平原區,2.1,25.2,北,"3.5,3.5",2.7,3.3,"22,910","54,671","26,034","14,331",127,232,1,43,"11,301","2,381",17～18,0.57 ,,,
,,,,2539423.966,,,,,,,南,"3.6,3.6",2.6,2.4,"19,306","45,649","21,737","12,349",140,248,1,32,"8,968","1,769",7～8,,,,
臺南市,V-27,二層行橋,344K+550,170588.764,台1線,牛稠子~二層行橋,340K+700~344K+800,平原區,4.1,27.1,北,"3.5,3.5,3.5",2.4,0.7,"23,457","107,879","26,312","14,987",75,298,0,106,"10,846","2,285",7～8,0.59 ,,,
,,,,2535264.711,,,,,,,南,"3.5,3.5,3.5",2.3,0.7,"21,553","100,299","24,463","13,198",57,280,0,87,"10,842","1,582",19～20,,,,
,,,,,,合計,,,118.0,,,,,," 918,452 "," 3,546,750 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,V-28,新榮橋,3K+950,201004.602,台1丁線,莿桐~斗六,0K+000~8K+076,平原區,8.07,18.2,北,"3.6,3.6",-,1.9,"10,854","92,710","11,488","7,756",129,517,23,92,"2,971","1,061",17～18,0.53 ,,,
,,,,2625329.755,,,,,,,南,"3.6,3.6",-,1.9,"11,534","97,600","12,094","8,179",136,631,25,107,"3,017","1,180",7～8,,,,
雲林縣,V-29,新光陸橋,13K+000,198065.481,台1丁線,斗六~斗南,8K+076~14K+632,平原區,6.56,19.3,北,"3.6,3.6",2,0.4,"12,022","81,648","12,446","8,798",74,463,28,77,"3,007","1,154",7～8,0.51 ,16 ,26 ,
,,,,2619696.291,,,,,,,南,"3.6,3.5",2,0.6,"12,541","85,348","13,010","9,094",77,454,35,87,"3,263","1,190",17～18,,13 ,21 ,
,,,,,,合計,,,14.6,,,,,," 46,950 "," 357,306 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,V-30,北林內陸橋,239K+550,212522.817,台3線,南雲大橋~林內,238K+027~244K+126,平原區,6.09,19.5,北,"3.7,4.5",-,1.3,"3,490","19,452","3,194","2,307",9,278,2,161,436,287,10～11,0.60 ,,,
,,,,2629826.057,,,,,,,南,"3.8,4.6",-,1.6,"3,921","22,603","3,711","2,664",20,260,0,157,611,434,16～17,,,,
雲林縣,V-31,海豐崙橋,249K+000,206008.845,台3線,林內~斗六,244K+126~254K+045,平原區,9.92,21.9,北,"3.6,3.6",-,4.5,"16,347","184,019","18,550","11,086",54,512,11,102,"6,785","2,463",7～8,0.54 ,85 ,88 ,
,,,,2623742.235,,,,,,,南,"3.6,3.6",-,3,"16,184","183,187","18,466","11,225",54,382,7,85,"6,713","2,137",17～18,,59 ,87 ,
雲林縣,V-32,仰山橋,255K+740,202835.043,台3線,斗六~永光,254K+045~262K+139,平原區,8.09,18.8,北,"3.7,3.3",-,2.4,"11,818","100,212","12,387","9,533",49,499,5,28,"2,273","1,075",17～18,0.51 ,,,
,,,,2619150.681,,,,,,,南,"3.4,3.6",-,2.4,"12,966","110,678","13,681","10,483",58,503,1,24,"2,612","1,117",16～17,,,,
雲林縣,V-33,永光,262K+139,204083.175,台3線,永光~嘉義縣界,262K+139~267K+233,平原區,5.09,18.2,北,"3.2,3.3",2,0.6,"4,115","21,289","4,183","2,961",39,257,0,27,899,493,17～18,0.51 ,,,
,,,,2613542.965,,,,,,,南,"3.3,3.3",2,0.5,"4,420","22,839","4,487","3,265",43,245,1,29,904,473,11～12,,,,
雲林縣,V-34,興昌國小,264K+000,202908.330,台3線,興昌國小~嘉義縣界,264K+000~267K+233,平原區,3.23,12.6,北,3.5,2,0.8,"2,792","9,334","2,890","2,210",73,71,1,9,525,601,15～16,0.55 ,,,
,,,,2612156.857,,,,,,,南,3.5,2,0.8,"3,010","9,951","3,081","2,348",72,69,1,33,559,,,,,,
嘉義縣,V-35,尾庄,267K+500,202993.369,台3線,雲林縣界~梅山,267K+233~268K+528,平原區,4.63,13,北,3.5,2,1.2,"6,978","34,305","7,409","5,869",88,122,0,9,"1,321","1,340",16～17,0.55 ,,,
,,,,2609725.730,,,,,,,南,3.5,2,0.8,"7,052","34,676","7,489","5,924",85,131,0,9,"1,341",,,,,,
嘉義縣,V-36,梅山市場,268K+850,204966.359,台3線,梅山~梅山市場,268K+528~269K+510,平原區,7.87,13.5,北,3.5,-,3,"5,119","55,901","7,103","2,632",51,117,0,0,"4,303",914, 9～10,0.52 ,,,
,,,,2608760.468,,,,,,,南,3.5,-,3.5,"5,232","55,271","7,023","2,799",46,168,0,0,"4,009",,,,,,
嘉義縣,V-37,竹崎大橋,276K+900,203718.360,台3線,梅山市場~竹崎,269K+510~277K+378,平原區,0.98,12.3,北,3.5,2,0.7,"2,974","3,537","3,610","2,142",22,41,0,1,"1,403",599,16～17,0.51 ,,,
,,,,2602406.541,,,,,,,南,3.5,2,0.6,"3,002","3,580","3,653","2,162",22,41,0,0,"1,428",,,,,,
嘉義縣,V-38,興產橋,280k+334,202550.785,台3線,竹崎~鹿滿,277K+378~282K+004,平原區,1.3,14.4,北,"3.2,3.3",-,1.4,"7,002","10,084","7,757","5,010",55,320,1,2,"2,369",637,7～8,0.51 ,,,
,,,,2599759.067,,,,,,,南,3,2,1.5,"7,250","10,456","8,043","5,217",57,305,1,4,"2,458",658,17～18,,,,
嘉義縣,V-39,吳鳳橋,286K+130,202042.069,台3線,鹿滿~隆興,282K+004~288K+942,平原區,6.94,15.2,北,"3.4,3.5",-,0.6,"3,528","25,970","3,742","2,605",27,226,1,4,878,321,17～18,0.51 ,,,
,,,,2594725.218,,,,,,,南,"3.4,3.5",-,0.8,"3,393","25,042","3,608","2,499",23,215,2,4,865,313,11～12,,,,
嘉義縣,V-40,中埔橋,290k+397,200711.104,台3線,隆興~澐水,287k+353~295k+000,丘陵區,6.7,11.9,北,3.4,2,0.4,"3,582","26,575","3,966","2,501",26,96,0,10,"1,334",659,8～9,0.50 ,,,
,,,,2590542.425,,,,,,,南,3.4,2,0.7,"3,600","26,766","3,995","2,499",23,102,0,9,"1,362",,,,,,
嘉義縣,V-41,得道橋,295k+000,201629.292,台3線,澐水~分水嶺,295k+000~334k+138,山嶺區,18.1,7.2,北,3,-,0.6,"2,020","22,959","1,268",887,25,34,0,12,310,430, 9～10,0.71 ,,,
,,,,2586940.255,,,,,,,南,2.8,-,0.8,"2,084","21,994","1,215",832,30,53,0,20,280,,,,,,
嘉義縣,V-42,和平一號橋,334k+138,210387.081,台3線,分水嶺~大埔,334k+138~352K+700,山嶺區,24.8,7.4,北,3.3,-,0.4,931,"14,324",578,493,5,3,0,12,64,228,12～13,0.53 ,,,
,,,,2578309.622,,,,,,,南,3,-,0.7,884,"13,693",552,480,6,3,0,9,53,,,,,,
嘉義縣,V-43,四維橋,352K+700,204447.713,台3線,大埔~雙溪,352K+700~365.500,山嶺區,21.2,10.3,北,4.7,-,0.4,698,"9,510",449,272,10,17,0,1,148,317,11～12,0.77 ,,,
,,,,2569356.755,,,,,,,南,4.9,-,0.3,645,"8,501",401,263,9,18,0,1,110,,,,,,
臺南市,V-44,楠西北橋,365k+450,197892.616,台3線,雙溪~楠西,365k+450~372k+500,丘陵區,8.8,21.9,北,"4.0,3.8",2.5,0.7,879,"7,863",894,634,12,8,0,9,230,107,11～12,0.55 ,,,
,,,,2564992.97,,,,,,,南,"4.0,3.8",2.5,0.6,866,"7,802",887,638,11,9,0,6,222,132,14～15,,,,
臺南市,V-45,竹圍橋,372k+500,196510.951,台3線,楠西~玉井,372k+500~375K+323,丘陵區,6.5,21.2,北,"3.5,3.5",2.1,1.5,"5,258","33,762","5,194","4,068",24,122,1,48,931,600,10～11,0.51 ,,,
,,,,2559394.432,,,,,,,南,"3.5,3.5",2.1,1.5,"4,308","25,953","3,993","3,438",29,138,0,62,327,582,16～17,,,,
臺南市,V-46,高陵橋,375k+323,196306.897,台3線,玉井~北寮,375k+323~383k+733,丘陵區,7.1,16.3,北,"3.6,3.6",-,1.1,"4,722","32,318","4,552","3,357",23,129,0,99,944,558,16～17,0.53 ,,,
,,,,2556759.568,,,,,,,南,"3.6,3.6",-,0.8,"4,562","32,282","4,547","3,399",25,121,0,61,940,487,10～11,,,,
臺南市,V-47,彩鳳橋,383k+733,197121.572,台3線,北寮~南化,383k+733~385+907,丘陵區,4.8,16,北,"3.5,3.5",-,1,"1,560","6,976","1,453","1,038",9,180,1,1,225,177,14～15,0.54 ,,,
,,,,2549602.954,,,,,,,南,"3.5,3.5",-,1,"1,479","6,917","1,441","1,071",9,116,0,2,242,206,15～16,,,,
臺南市,V-48,西山橋,385k+907,196090.013,台3線,南化~金馬寮,385k+907~389k+311,山嶺區,5.4,15.9,北,"3.7,3.7",-,0.5,"3,136","9,342","1,730","1,308",15,38,0,99,270,367,10～11,0.51 ,,,
,,,,2547724.077,,,,,,,南,"3.6,3.9",-,0.5,"2,882","9,224","1,708","1,345",16,34,0,58,254,360,15～16,,,,
,,,,,,合計,,,157.5,,,,,," 174,688 "," 1,259,146 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,V-49,海豐橋,78K+650,173092.422,台17線,西濱大橋~海豐橋,68K+674~78K+650,平原區,9.97,16,北,"3.5,4.1",-,0.4,"3,350","37,054","3,717","2,226",44,137,0,28,"1,281",426,7～8,0.58 ,,,
